Merlot Wine Data,,,,,,,,,,,,,,,,,,,,,,,,
Winery,,,Tinhorn,Tinhorn,Tinhorn,Quails Gate,Quails Gate,Quails Gate,Sandhill,Sandhill,Sandhill,Nk'Mip,Nk'Mip,Nk'Mip,Inniskilin,Inniskilin,Inniskilin,Cedar Creek,Cedar Creek,Cedar Creek,Arrowleaf,Arrowleaf,Arrowleaf,
Vintage Year,,,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,
Alcohol Content,,,13.70%,13.70%,13.70%,14.50%,14.50%,14.50%,14.50%,14.50%,14.50%,14.20%,14.20%,14.20%,14%,14%,14%,13.90%,13.90%,13.90%,14.80%,14.80%,14.80%,
Bottle Depth,,,Top,Middle,Bottom,Top,Middle,Bottom,Top,Middle,Bottom,Top,Middle,Bottom,Top,Middle,Bottom,Top,Middle,Bottom,Top,Middle,Bottom,
Feature ID,Retention Time,m/z,TH_T_50,TH_M_50,TH_B_50,QG_T_50,QG_M_50,QG_B_50,SH_T_50,SH_M_50,SH_B_50,NK_T_50,NK_M_50,NK_B_50,INN_T_50,INN_M_50,INN_B_50,CC_T_50,CC_M_50,CC_B_50,AL_T_50,AL_M_50,AL_B_50,
1.1133_397.9473,1.1133,397.9473,0,0.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228,0.014,0,0,0,
1.1134_776.2202,1.1134,776.2202,0,0,0,0,0,0,0,0,0,0.0246,0,0,0,0,0,0,0.0632,0,0,0,0,
1.1136_991.2366,1.1136,991.2366,0,0,0,0,0.0294,0,0.0423,0,0,0,0,0,0,0,0.0379,0,0,0.0444,0,0,0,
1.1138_619.9243,1.1138,619.9243,0,0,0,0,0,0,0,0,0,0.0301,0,0,0,0,0,0,0,0,0,0,0,
1.1141_472.1674,1.1141,472.1674,0.0429,0.0726,0.0497,0.2844,0.3621,0.1497,0.1903,0.0586,0.1216,0.0779,0.0283,0.0363,0.128,0.164,0.0518,0.2681,0.2151,0.1582,0.1522,0.1103,0.0907,
1.1141_762.2543,1.1141,762.2543,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0.012,0.0166,0,0,0,0,
1.1144_424.0966,1.1144,424.0966,0,0,0,0,0,0,0,0,0,0.0678,0,0,0,0,0,0,0,0,0,0,0,
1.1147_829.3085,1.1147,829.3085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1147_796.4762,1.1147,796.4762,0.0429,0,0.0403,0.0922,0.0905,0,0,0,0,0,0.0146,0,0,0,0,0,0,0.0443,0,0,0,
1.1149_342.1417,1.1149,342.1417,0.0567,0.0902,0.168,0.1268,0.1228,0.1648,0.182,0.1167,0.0956,0.0676,0.0901,0.0696,0.0676,0.0511,0.0521,0.1313,0.1379,0.1412,0,0,0,
1.1149_669.0232,1.1149,669.0232,0.5741,0.3393,0.2625,0.2459,0.0756,0.0767,0.2366,0.2188,0.2476,0.2975,0.2209,0.1005,0.2432,0.14,0.2386,0.2433,0.1814,0.0883,0.4622,0.6734,0.5909,
1.1151_697.5058,1.1151,697.5058,0,0,0,0,0,0,0,0.0372,0.0435,0,0,0,0.0164,0,0,0,0,0,0.0319,0,0,
1.1152_859.1093,1.1152,859.1093,0,0,0,0.0511,0,0,0,0,0.0386,0,0.0412,0,0,0,0,0,0,0,0.056,0,0,
1.1153_790.464,1.1153,790.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1153_141.1354,1.1153,141.1354,0,0,0,0,0,0,0.0886,0,0,0.1145,0,0,0,0,0.1089,0,0,0,0.0868,0,0,
1.1155_893.4303,1.1155,893.4303,0,0,0,0,0,0,0,0,0,0,0,0,0.0194,0,0,0,0,0,0,0,0,
1.1158_861.1217,1.1158,861.1217,0,0,0,0,0,0,0,0,0,0,0.0486,0,0.0487,0,0,0,0,0,0,0,0,
1.116_761.3898,1.116,761.3898,0.0481,0.1507,0.1593,0.0243,0,0,0.1487,0.0646,0.0584,0.0905,0.0368,0,0.0798,0.1003,0.0381,0.0719,0.0524,0,0.1971,0,0.1269,
1.1165_310.8087,1.1165,310.8087,0.0526,0,0,0,0.0374,0,0.0645,0.0144,0,0,0,0.0347,0,0.038,0,0,0,0,0,0,0.0533,
1.1165_796.5273,1.1165,796.5273,0,0,0,0,0.0155,0,0.0441,0,0,0,0,0.0354,0,0,0,0.0399,0,0,0.027,0,0.024,
1.1166_731.0285,1.1166,731.0285,0.0188,0,0,0,0,0,0,0,0,0,0,0,0.0609,0,0,0,0.0281,0,0.0228,0,0,
1.1168_752.4611,1.1168,752.4611,0.0447,0.0579,0.0339,0,0.0391,0,0,0,0.0226,0.052,0,0,0,0,0,0.0527,0.0662,0,0.043,0,0,
1.1171_903.151,1.1171,903.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222,0,0,0,0,0,
1.1174_880.9223,1.1174,880.9223,0,0,0,0,0.0417,0.0206,0,0,0.0456,0,0,0,0,0,0.0396,0.0508,0,0,0,0.0539,0,
1.1176_831.086,1.1176,831.086,0,0,0.0412,0,0.0391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1178_967.2172,1.1178,967.2172,0.0206,0,0,0,0,0,0,0,0.0229,0,0.0289,0,0,0,0,0,0,0,0,0,0,
1.1185_324.5942,1.1185,324.5942,0,0,0,0,0,0,0,0,0.0199,0,0,0,0,0.052,0,0,0,0,0,0,0,
1.1186_807.1687,1.1186,807.1687,0,0,0,0.0137,0,0,0.0738,0,0,0,0,0.0435,0,0,0,0,0,0,0,0,0,
1.119_665.0215,1.119,665.0215,0,0,0.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1192_448.1307,1.1192,448.1307,0,0.0163,0,0,0,0,0,0,0,0,0,0.0456,0,0,0,0,0,0,0,0,0,
1.1198_435.1752,1.1198,435.1752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159,0,0,0,
1.1199_516.998,1.1199,516.998,0,0.0534,0.0342,0,0,0,0.0427,0.0357,0,0.0252,0.0321,0,0.0846,0.0954,0.2177,0.1865,0.1126,0,0.1588,0,0,
1.1202_577.0194,1.1202,577.0194,0,0,0.0411,0.0233,0,0,0.0321,0,0,0,0,0,0,0,0,0,0.046,0,0,0,0.1173,
1.1207_717.3616,1.1207,717.3616,0.5719,0.9487,0.7975,0.5935,0.6845,0.6144,0.6122,0.7107,0.8238,0.5982,0.6746,0.648,0.7628,0.1614,0.8269,0.5527,0.7358,0.5579,0.7427,0.7537,0,
1.1208_476.1583,1.1208,476.1583,0,0,0.0149,0,0.0496,0,0,0.0463,0,0,0,0,0,0,0.0394,0,0,0,0,0,0,
1.121_141.3669,1.121,141.3669,0,0,0,0,0,0,0.1514,0,0,0,0.0933,0,0,0,0,0,0,0,0,0,0,
1.1211_993.0455,1.1211,993.0455,0,0,0.0631,0,0.0188,0,0.0479,0,0,0,0,0.013,0.0557,0,0,0.0381,0,0,0,0,0,
1.1212_470.9629,1.1212,470.9629,0,0,0,0,0,0.0873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1213_446.1667,1.1213,446.1667,0,0,0,0,0.056,0,0.0325,0.0565,0.0365,0.0339,0,0.0477,0,0.0508,0.0738,0,0.0853,0.0655,0.0572,0,0.023,
1.1213_828.9746,1.1213,828.9746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1216_708.4303,1.1216,708.4303,0,0.0717,0,0,0.0468,0,0.0446,0,0,0.0307,0,0,0,0,0.0181,0.0217,0.0339,0,0,0,0,
1.1217_561.0376,1.1217,561.0376,0,0,0,0.0669,0,0,0,0.0732,0,0,0.0358,0,0.0707,0,0.0769,0.0948,0,0,0,0,0,
1.1217_517.2458,1.1217,517.2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177,0,0,0,
1.1217_629.3102,1.1217,629.3102,0.2599,0.7967,0.8332,0.7779,0.3694,0.2324,0.739,0.683,0.5049,0.4548,0.2578,0.6611,0.6621,0.7081,0.9016,0.5552,0.6233,0.505,0.776,0.4314,1.1097,
1.1218_246.5493,1.1218,246.5493,0.0146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464,0,0,0,
